"","Species","Genus","Subspecies","ValidBinomial","Year"
"127136","iphita","Junonia","horsfieldii","Junonia iphita",1899
"127137","iphita","Junonia","pluviatilis","Junonia iphita",1900
"127138","iphita","Junonia","tosca","Junonia iphita",1900
"127139","iphita","Junonia","vioralia","Junonia iphita",1985
"127140","iphita","Junonia","viridis","Junonia iphita",1889
"127152","lemonias","Junonia",NA,"Junonia lemonias",1758
"127190","lemonias","Junonia","aenaria","Junonia lemonias",1912
"127191","lemonias","Junonia","janome","Junonia lemonias",1985
"127194","litoralis","Junonia",NA,"Junonia litoralis",2009
"127207","natalica","Junonia",NA,"Junonia natalica",1860
"127229","natalica","Junonia","angolensis","Junonia natalica",1918
"127231","neildi","Junonia",NA,"Junonia neildi",2004
"127246","oenone","Junonia",NA,"Junonia oenone",1758
"127291","oenone","Junonia","epiclelia","Junonia oenone",1833
"127294","orithya","Junonia",NA,"Junonia orithya",1758
"127411","orithya","Junonia","albicincta","Junonia orithya",1875
"127412","orithya","Junonia","baweana","Junonia orithya",1906
"127413","orithya","Junonia","celebensis","Junonia orithya",1885
"127414","orithya","Junonia","eutychia","Junonia orithya",1912
"127415","orithya","Junonia","here","Junonia orithya",1884
"127416","orithya","Junonia","kontinentalis","Junonia orithya",1921
"127417","orithya","Junonia","kuehni","Junonia orithya",1904
"127418","orithya","Junonia","leucasia","Junonia orithya",1912
"127419","orithya","Junonia","madagascarensis","Junonia orithya",1865
"127420","orithya","Junonia","madagascariensis","Junonia orithya",1865
"127421","orithya","Junonia","metion","Junonia orithya",1905
"127422","orithya","Junonia","mevaria","Junonia orithya",1904
"127423","orithya","Junonia","minagara","Junonia orithya",1904
"127424","orithya","Junonia","neopommerana","Junonia orithya",1898
"127425","orithya","Junonia","novaeguineae","Junonia orithya",1897
"127426","orithya","Junonia","ocyale","Junonia orithya",1819
"127427","orithya","Junonia","orthosia","Junonia orithya",1824
"127428","orithya","Junonia","palea","Junonia orithya",1912
"127429","orithya","Junonia","patenas","Junonia orithya",1912
"127430","orithya","Junonia","saleyra","Junonia orithya",1912
"127431","orithya","Junonia","wallacei","Junonia orithya",1883
"127440","rhadama","Junonia",NA,"Junonia rhadama",1833
"127459","schmiedeli","Junonia",NA,"Junonia schmiedeli",1920
"127464","sophia","Junonia",NA,"Junonia sophia",1793
"127516","sophia","Junonia","infracta","Junonia sophia",1888
"127517","strandi","Junonia",NA,"Junonia strandi",1937
"127518","stygia","Junonia",NA,"Junonia stygia",1894
"127561","terea","Junonia",NA,"Junonia terea",1773
"127618","terea","Junonia","elgiva","Junonia terea",1864
"127619","terea","Junonia","fumata","Junonia terea",1903
"127620","terea","Junonia","tereoides","Junonia terea",1901
"127621","timorensis","Junonia",NA,"Junonia timorensis",1869
"127622","timorensis","Junonia","cibota","Junonia timorensis",1912
"127623","timorensis","Junonia","kucil","Junonia timorensis",1985
"127624","touhilimasa","Junonia",NA,"Junonia touhilimasa",1892
"127638","vestina","Junonia",NA,"Junonia vestina",1867
"127644","vestina","Junonia","livia","Junonia vestina",1912
"127645","villida","Junonia",NA,"Junonia villida",1787
"127692","villida","Junonia","chagoensis","Junonia villida",1925
"127695","wahlbergi","Junonia",NA,"Junonia wahlbergi",2008
"127700","westermanni","Junonia",NA,"Junonia westermanni",1870
"127739","westermanni","Junonia","splendens","Junonia westermanni",1921
"127740","westermanni","Junonia","suffusa","Junonia westermanni",1903
"127743","zonalis","Junonia",NA,"Junonia zonalis",1867
"127755","zonalis","Junonia","swifti","Junonia zonalis",2004
"127756","charon","Jupitellia",NA,"Jupitellia charon",1889
"127760","gava","Justinia",NA,"Justinia gava",1955
"127762","gertschi","Justinia",NA,"Justinia gertschi",1937
"127764","justinianus","Justinia",NA,"Justinia justinianus",1824
"127776","justinianus","Justinia","cappa","Justinia justinianus",1955
"127777","justinianus","Justinia","dappa","Justinia justinianus",1955
"127778","justinianus","Justinia","hyperythrus","Justinia justinianus",1914
"127779","kora","Justinia",NA,"Justinia kora",1877
"127781","maculata","Justinia",NA,"Justinia maculata",1930
"127785","papaea","Justinia",NA,"Justinia papaea",1876
"127787","phaetusa","Justinia",NA,"Justinia phaetusa",1866
"127793","phaetusa","Justinia","norda","Justinia phaetusa",1955
"127794","septa","Justinia",NA,"Justinia septa",1955
"127820","ferruginea","Kakumia",NA,"Kakumia ferruginea",1923
"127825","ideoides","Kakumia",NA,"Kakumia ideoides",1887
"127835","otlauga","Kakumia",NA,"Kakumia otlauga",1890
"127860","alicia","Kallima",NA,"Kallima alicia",1921
"127868","alicia","Kallima","kishii","Kallima alicia",2014
"127869","alicia","Kallima","shizuyai","Kallima alicia",2014
"127890","horsfieldii","Kallima",NA,"Kallima horsfieldii",1844
"127896","inachus","Kallima",NA,"Kallima inachus",1840
"127931","inachus","Kallima","albofasciata","Kallima inachus",1877
"127932","inachus","Kallima","alboinachus","Kallima inachus",2013
"127933","inachus","Kallima","chinensis","Kallima inachus",1893
"127934","inachus","Kallima","eucerca","Kallima inachus",1898
"127935","inachus","Kallima","formosana","Kallima inachus",1912
"127936","inachus","Kallima","huegelii","Kallima inachus",1844
"127937","inachus","Kallima","siamensis","Kallima inachus",1912
"127944","knyvettii","Kallima",NA,"Kallima knyvettii",1886
"127949","limborgii","Kallima",NA,"Kallima limborgii",1879
"127956","limborgii","Kallima","amplirufa","Kallima limborgii",1898
"127957","limborgii","Kallima","borneensis","Kallima limborgii",2015
"127958","limborgii","Kallima","buxtoni","Kallima limborgii",1879
"127959","limborgii","Kallima","incognita","Kallima limborgii",2013
"127964","paralekta","Kallima",NA,"Kallima paralekta",1829
"127965","paralekta","Kallima","baliensis","Kallima paralekta",1941
"127973","spiridiva","Kallima",NA,"Kallima spiridiva",1885
"127977","rumia","Kallimoides",NA,"Kallimoides rumia",1849
"128019","rumia","Kallimoides","jadyae","Kallimoides rumia",1968
"128020","rumia","Kallimoides","rattrayi","Kallimoides rumia",1904
"128059","digna","Kanetisa",NA,"Kanetisa digna",1883
"128061","digna","Kanetisa","pallas","Kanetisa digna",1923
"128062","digna","Kanetisa","perdigna","Kanetisa digna",1956
"128063","digna","Kanetisa","zarathustra","Kanetisa digna",1966
"128065","kotzschi","Kanetisa",NA,"Kanetisa kotzschi",1955
"128069","canace","Kaniska",NA,"Kaniska canace",1763
"128139","canace","Kaniska","battakana","Kaniska canace",1896
"128140","canace","Kaniska","benguetana","Kaniska canace",1888
"128141","canace","Kaniska","drilon","Kaniska canace",1908
"128142","canace","Kaniska","haronica","Kaniska canace",1879
"128143","canace","Kaniska","ishima","Kaniska canace",1899
"128144","canace","Kaniska","javanica","Kaniska canace",1912
"128145","canace","Kaniska","maniliana","Kaniska canace",1912
"128146","canace","Kaniska","muscosa","Kaniska canace",1979
"128147","canace","Kaniska","nojaponicum","Kaniska canace",1824
"128148","canace","Kaniska","oplentia","Kaniska canace",1985
"128149","canace","Kaniska","oreas","Kaniska canace",1985
"128150","canace","Kaniska","perakana","Kaniska canace",1886
"128154","abramovi","Karanasa",NA,"Karanasa abramovi",1884
"128156","abramovi","Karanasa","kasakstana","Karanasa abramovi",1936
"128157","abramovi","Karanasa","naryna","Karanasa abramovi",1951
"128158","abramovi","Karanasa","regulus","Karanasa abramovi",1887
"128159","abramovi","Karanasa","striata","Karanasa abramovi",2001
"128163","alpherakyi","Karanasa",NA,"Karanasa alpherakyi",1910
"128165","alpherakyi","Karanasa","kafir","Karanasa alpherakyi",1951
"128166","alpherakyi","Karanasa","titan","Karanasa alpherakyi",1966
"128167","alpherakyi","Karanasa","transitoria","Karanasa alpherakyi",2001
"128168","alpherakyi","Karanasa","twomeyi","Karanasa alpherakyi",1961
"128173","astorica","Karanasa",NA,"Karanasa astorica",1926
"128174","astorica","Karanasa","balti","Karanasa astorica",1926
"128175","astorica","Karanasa","expressa","Karanasa astorica",1951
"128176","astorica","Karanasa","pallida","Karanasa astorica",1926
"128180","boloricus","Karanasa",NA,"Karanasa boloricus",1888
"128182","boloricus","Karanasa","chitralica","Karanasa boloricus",1926
"128183","boloricus","Karanasa","hodja","Karanasa boloricus",1951
"128184","cadesia","Karanasa",NA,"Karanasa cadesia",1875
"128189","decolorata","Karanasa",NA,"Karanasa decolorata",1900
"128190","decolorata","Karanasa","grumi","Karanasa decolorata",1951
"128191","decolorata","Karanasa","mushketovi","Karanasa decolorata",1951
"128193","dissoluta","Karanasa",NA,"Karanasa dissoluta",1886
"128196","eburnea","Karanasa",NA,"Karanasa eburnea",1951
"128202","goergneri","Karanasa",NA,"Karanasa goergneri",1990
"128209","hoffmanni","Karanasa",NA,"Karanasa hoffmanni",1893
"128212","huebneri","Karanasa",NA,"Karanasa huebneri",1867
"128216","huebneri","Karanasa","aulieatana","Karanasa huebneri",1949
"128218","incerta","Karanasa",NA,"Karanasa incerta",1997
"128220","inopinata","Karanasa",NA,"Karanasa inopinata",2014
"128224","josephi","Karanasa",NA,"Karanasa josephi",1882
"128226","josephi","Karanasa","darwasica","Karanasa josephi",1951
"128227","josephi","Karanasa","hissariensis","Karanasa josephi",1951
"128228","josephi","Karanasa","jakobsoni","Karanasa josephi",1951
"128229","josephi","Karanasa","oshanini","Karanasa josephi",1951
"128234","kirgizorum","Karanasa",NA,"Karanasa kirgizorum",1951
"128237","latefasciata","Karanasa",NA,"Karanasa latefasciata",1902
"128238","latefasciata","Karanasa","obscurior","Karanasa latefasciata",1951
"128239","latefasciata","Karanasa","occidentalis","Karanasa latefasciata",1951
"128240","leechi","Karanasa",NA,"Karanasa leechi",1890
"128250","leechi","Karanasa","alitchura","Karanasa leechi",1951
"128251","leechi","Karanasa","centralis","Karanasa leechi",1951
"128252","leechi","Karanasa","erubescens","Karanasa leechi",1951
"128253","leechi","Karanasa","gregorii","Karanasa leechi",1951
"128254","leechi","Karanasa","hunza","Karanasa leechi",1951
"128256","leechi","Karanasa","intermedius","Karanasa leechi",1890
"128257","leechi","Karanasa","mihmana","Karanasa leechi",1951
"128258","leechi","Karanasa","mustagata","Karanasa leechi",2006
"128264","maureri","Karanasa",NA,"Karanasa maureri",1951
"128266","maureri","Karanasa","fusca","Karanasa maureri",2011
"128267","maureri","Karanasa","iskander","Karanasa maureri",1951
"128268","maureri","Karanasa","matcha","Karanasa maureri",2011
"128270","modesta","Karanasa",NA,"Karanasa modesta",1893
"128272","modesta","Karanasa","baltorensis","Karanasa modesta",1951
"128273","modesta","Karanasa","gemina","Karanasa modesta",1951
"128274","mohsenii","Karanasa",NA,"Karanasa mohsenii",1966
"128275","moorei","Karanasa",NA,"Karanasa moorei",1912
"128278","moorei","Karanasa","dubia","Karanasa moorei",1951
"128279","moorei","Karanasa","gilgitica","Karanasa moorei",1926
"128280","moorei","Karanasa","haarlovi","Karanasa moorei",1951
"128281","moorei","Karanasa","lucida","Karanasa moorei",2011
"128282","moorei","Karanasa","wyatti","Karanasa moorei",2015
"128299","pamirus","Karanasa",NA,"Karanasa pamirus",1887
"128302","pamirus","Karanasa","disjuncta","Karanasa pamirus",2001
"128303","pamirus","Karanasa","haslundi","Karanasa pamirus",1951
"128304","pamirus","Karanasa","holbecki","Karanasa pamirus",1951
"128305","pamirus","Karanasa","kotandari","Karanasa pamirus",1961
"128306","pamirus","Karanasa","ornata","Karanasa pamirus",1951
"128307","praestans","Karanasa",NA,"Karanasa praestans",1951
"128308","praestans","Karanasa","kasak","Karanasa praestans",1951
"128309","pupilata","Karanasa",NA,"Karanasa pupilata",1926
"128310","regeli","Karanasa",NA,"Karanasa regeli",1881
"128313","regeli","Karanasa","aksuensis","Karanasa regeli",1951
"128314","regeli","Karanasa","korlana","Karanasa regeli",1901
"128315","regeli","Karanasa","ruckbeili","Karanasa regeli",1951
"128318","rohtanga","Karanasa",NA,"Karanasa rohtanga",1951
"128320","safeda","Karanasa",NA,"Karanasa safeda",1926
"128321","straminea","Karanasa",NA,"Karanasa straminea",1997
"128323","talastauana","Karanasa",NA,"Karanasa talastauana",1927
"128324","talastauana","Karanasa","angrena","Karanasa talastauana",1951
"128325","talastauana","Karanasa","arasana","Karanasa talastauana",1951
"128326","tancrei","Karanasa",NA,"Karanasa tancrei",1893
"128327","tancrei","Karanasa","puengeleri","Karanasa tancrei",1910
"128332","voigti","Karanasa",NA,"Karanasa voigti",1927
"128333","voigti","Karanasa","nigrocellata","Karanasa voigti",1951
"128334","wilkinsi","Karanasa",NA,"Karanasa wilkinsi",1884
"128337","wilkinsi","Karanasa","dublitzkyi","Karanasa wilkinsi",1927
"128338","wilkinsi","Karanasa","durana","Karanasa wilkinsi",1951
"128339","wilkinsi","Karanasa","robusta","Karanasa wilkinsi",1951
"128346","johnstonii","Katreus",NA,"Katreus johnstonii",1888
"128364","barberae","Kedestes",NA,"Kedestes barberae",1873
"128380","barberae","Kedestes","bonsa","Kedestes barberae",1956
"128381","barberae","Kedestes","bunta","Kedestes barberae",1956
"128383","brunneostriga","Kedestes",NA,"Kedestes brunneostriga",1884
"128400","callicles","Kedestes",NA,"Kedestes callicles",1868
"128429","chaca","Kedestes",NA,"Kedestes chaca",1873
"128433","ekouyi","Kedestes",NA,"Kedestes ekouyi",2009
"128435","heathi","Kedestes",NA,"Kedestes heathi",1982
"128437","lema","Kedestes",NA,"Kedestes lema",1910
"128448","lema","Kedestes","linka","Kedestes lema",1956
"128449","lenis","Kedestes",NA,"Kedestes lenis",1932
"128451","lenis","Kedestes","alba","Kedestes lenis",1997
"128454","lepenula","Kedestes",NA,"Kedestes lepenula",1857
"128468","macomo","Kedestes",NA,"Kedestes macomo",1862
"128479","malua","Kedestes",NA,"Kedestes malua",1910
"128482","marshalli","Kedestes",NA,"Kedestes marshalli",1925
"128488","michaeli","Kedestes",NA,"Kedestes michaeli",1982
"128492","mohozutza","Kedestes",NA,"Kedestes mohozutza",1857
"128508","monostichus","Kedestes",NA,"Kedestes monostichus",1982
"128511","nancy","Kedestes",NA,"Kedestes nancy",1991
"128514","nerva","Kedestes",NA,"Kedestes nerva",1793
"128530","nerva","Kedestes","paola","Kedestes nerva",1884
"128531","niveostriga","Kedestes",NA,"Kedestes niveostriga",1864
"128534","niveostriga","Kedestes","schloszi","Kedestes niveostriga",1997
"128535","pinheyi","Kedestes",NA,"Kedestes pinheyi",1982
"128537","protensa","Kedestes",NA,"Kedestes protensa",1901
"128563","rogersi","Kedestes",NA,"Kedestes rogersi",1907
"128571","sarahae","Kedestes",NA,"Kedestes sarahae",1998
"128574","straeleni","Kedestes",NA,"Kedestes straeleni",1956
"128578","sublineata","Kedestes",NA,"Kedestes sublineata",1953
"128581","wallengrenii","Kedestes",NA,"Kedestes wallengrenii",1883
"128602","wallengrenii","Kedestes","fenestratus","Kedestes wallengrenii",1894
"128614","climene","Kirinia",NA,"Kirinia climene",1783
"128648","climene","Kirinia","lecerfi","Kirinia climene",1981
"128649","climene","Kirinia","roxandra","Kirinia climene",1850
"128650","climene","Kirinia","valentinae","Kirinia climene",1923
"128652","epimenides","Kirinia",NA,"Kirinia epimenides",1859
"128657","eversmanni","Kirinia",NA,"Kirinia eversmanni",1847
"128661","eversmanni","Kirinia","cashmirensis","Kirinia eversmanni",1874
"128662","eversmanni","Kirinia","shiva","Kirinia eversmanni",1961
"128663","eversmanni","Kirinia","unicolor","Kirinia eversmanni",1893
"128664","fentoni","Kirinia",NA,"Kirinia fentoni",1877
"128670","roxelana","Kirinia",NA,"Kirinia roxelana",1777
"128694","telchinia","Kirontisa",NA,"Kirontisa telchinia",1857
"128700","telchinia","Kirontisa","xamneuaensis","Kirontisa telchinia",2014
"128701","whiteheadi","Kirontisa",NA,"Kirontisa whiteheadi",1900
"128703","whiteheadi","Kirontisa","esmeralda","Kirontisa whiteheadi",2014
"128704","whiteheadi","Kirontisa","fuzhouensis","Kirontisa whiteheadi",1987
"128706","micandriana","Kisutam",NA,"Kisutam micandriana",1992
"128707","rosemary","Kisutam",NA,"Kisutam rosemary",2015
"128710","syllis","Kisutam",NA,"Kisutam syllis",1887
"128719","kobela","Kobelana",NA,"Kobelana kobela",1864
"128721","krooni","Kobelana",NA,"Kobelana krooni",1974
"128723","croma","Kobrona",NA,"Kobrona croma",1949
"128724","denva","Kobrona",NA,"Kobrona denva",1949
"128725","edina","Kobrona",NA,"Kobrona edina",1949
"128726","eva","Kobrona",NA,"Kobrona eva",1935
"128727","idea","Kobrona",NA,"Kobrona idea",1949
"128728","infralutea","Kobrona",NA,"Kobrona infralutea",1915
"128729","kobros","Kobrona",NA,"Kobrona kobros",1885
"128730","kobros","Kobrona","issla","Kobrona kobros",1886
"128731","lexa","Kobrona",NA,"Kobrona lexa",1986
"128733","mirza","Kobrona",NA,"Kobrona mirza",1935
"128734","pansa","Kobrona",NA,"Kobrona pansa",1935
"128736","pansa","Kobrona","panta","Kobrona pansa",1949
"128738","rasta","Kobrona",NA,"Kobrona rasta",1935
"128740","sebana","Kobrona",NA,"Kobrona sebana",1986
"128742","sota","Kobrona",NA,"Kobrona sota",1986
"128744","tabella","Kobrona",NA,"Kobrona tabella",1935
"128745","vanda","Kobrona",NA,"Kobrona vanda",1949
"128746","vasna","Kobrona",NA,"Kobrona vasna",1935
"128749","wama","Kobrona",NA,"Kobrona wama",1885
"128750","wama","Kobrona","rudha","Kobrona wama",1911
"128751","zadma","Kobrona",NA,"Kobrona zadma",1986
"128753","buccina","Kolana",NA,"Kolana buccina",1907
"128755","chlamys","Kolana",NA,"Kolana chlamys",1907
"128757","ergina","Kolana",NA,"Kolana ergina",1867
"128764","ligurina","Kolana",NA,"Kolana ligurina",1874
"128774","lyde","Kolana",NA,"Kolana lyde",1887
"128831","butleri","Koruthaialos",NA,"Koruthaialos butleri",1884
"128842","focula","Koruthaialos",NA,"Koruthaialos focula",1882
"128843","focula","Koruthaialos","hitamus","Koruthaialos focula",1989
"128844","focula","Koruthaialos","kerala","Koruthaialos focula",1896
"128845","frena","Koruthaialos",NA,"Koruthaialos frena",1949
"128858","rubecula","Koruthaialos",NA,"Koruthaialos rubecula",1882
"128879","rubecula","Koruthaialos","atra","Koruthaialos rubecula",1949
"128880","rubecula","Koruthaialos","balina","Koruthaialos rubecula",1949
"128881","rubecula","Koruthaialos","cachara","Koruthaialos rubecula",1949
"128882","rubecula","Koruthaialos","hector","Koruthaialos rubecula",1893
"128883","rubecula","Koruthaialos","luzonensis","Koruthaialos rubecula",1910
"128884","rubecula","Koruthaialos","namata","Koruthaialos rubecula",1910
"128885","rubecula","Koruthaialos","niasicus","Koruthaialos rubecula",1910
"128886","rubecula","Koruthaialos","ponta","Koruthaialos rubecula",1949
"128887","rubecula","Koruthaialos","verona","Koruthaialos rubecula",1949
"128890","sindu","Koruthaialos",NA,"Koruthaialos sindu",1860
"128905","sindu","Koruthaialos","javanites","Koruthaialos sindu",1889
"128906","sindu","Koruthaialos","monda","Koruthaialos sindu",1949
"128907","sindu","Koruthaialos","palawites","Koruthaialos sindu",1889
"128908","sindu","Koruthaialos","rudra","Koruthaialos sindu",1942
"128909","sindu","Koruthaialos","tanda","Koruthaialos sindu",1949
"128914","alcedo","Kretania",NA,"Kretania alcedo",1877
"128928","alcedo","Kretania","madina","Kretania alcedo",2000
"128929","alcedo","Kretania","zoro","Kretania alcedo",1998
"128931","allardii","Kretania",NA,"Kretania allardii",1874
"128938","allardii","Kretania","antiatlasicus","Kretania allardii",1996
"128939","csomai","Kretania",NA,"Kretania csomai",1992
"128940","csomai","Kretania","shagramensis","Kretania csomai",2006
"128941","eurypilus","Kretania",NA,"Kretania eurypilus",1851
"128965","eurypilus","Kretania","afghaniensis","Kretania eurypilus",2013
"128966","eurypilus","Kretania","euaemon","Kretania eurypilus",1931
"128967","eurypilus","Kretania","iranica","Kretania eurypilus",1938
"128968","eurypilus","Kretania","khorasanus","Kretania eurypilus",2013
"128969","eurypilus","Kretania","kuhpayensis","Kretania eurypilus",2013
"128970","eurypilus","Kretania","pelopides","Kretania eurypilus",1984
"128972","hespericus","Kretania",NA,"Kretania hespericus",1839
"128977","martini","Kretania",NA,"Kretania martini",1867
"128985","martini","Kretania","ngouma","Kretania martini",2002
"128986","martini","Kretania","regularis","Kretania martini",1995
"128987","modica","Kretania",NA,"Kretania modica",1935
"128989","nicholli","Kretania",NA,"Kretania nicholli",1901
"128990","patriarcha","Kretania",NA,"Kretania patriarcha",1992
"128992","psylorita","Kretania",NA,"Kretania psylorita",1845
"128995","pylaon","Kretania",NA,"Kretania pylaon",1832
"129037","pylaon","Kretania","beani","Kretania pylaon",1997
"129038","pylaon","Kretania","cleopatra","Kretania pylaon",1934
"129039","pylaon","Kretania","katunensis","Kretania pylaon",1990
"129040","pylaon","Kretania","klausrosei","Kretania pylaon",1992
"129041","pylaon","Kretania","philbyi","Kretania pylaon",1925
"129042","pylaon","Kretania","sephirus","Kretania pylaon",1835
"129043","pylaon","Kretania","tarbagataiensis","Kretania pylaon",1992
"129044","pylaon","Kretania","tumultus","Kretania pylaon",2008
"129045","pylaon","Kretania","turcmenica","Kretania pylaon",1936
"129048","stekolnikovi","Kretania",NA,"Kretania stekolnikovi",2015
"129049","trappi","Kretania",NA,"Kretania trappi",1927
"129055","usbeka","Kretania",NA,"Kretania usbeka",1939
"129056","zamotajlovi","Kretania",NA,"Kretania zamotajlovi",2001
"129057","zephyrinus","Kretania",NA,"Kretania zephyrinus",1884
"129075","cabrerai","Kricogonia",NA,"Kricogonia cabrerai",1920
"129081","lyside","Kricogonia",NA,"Kricogonia lyside",1819
"129144","inexpectata","Kumothales",NA,"Kumothales inexpectata",1940
"129158","abyssinica","Lachnocnema",NA,"Lachnocnema abyssinica",1996
"129164","albimacula","Lachnocnema",NA,"Lachnocnema albimacula",1996
"129175","angolanus","Lachnocnema",NA,"Lachnocnema angolanus",1996
"129177","bamptoni","Lachnocnema",NA,"Lachnocnema bamptoni",1996
"129179","bibulus","Lachnocnema",NA,"Lachnocnema bibulus",1793
"129200","brimoides","Lachnocnema",NA,"Lachnocnema brimoides",1996
"129206","brunea","Lachnocnema",NA,"Lachnocnema brunea",1996
"129214","congoensis","Lachnocnema",NA,"Lachnocnema congoensis",1996
"129216","disrupta","Lachnocnema",NA,"Lachnocnema disrupta",1935
"129231","divergens","Lachnocnema",NA,"Lachnocnema divergens",1915
"129256","dohertyi","Lachnocnema",NA,"Lachnocnema dohertyi",1996
"129259","ducarmei","Lachnocnema",NA,"Lachnocnema ducarmei",1996
"129261","durbani","Lachnocnema",NA,"Lachnocnema durbani",1887
"129278","emperamus","Lachnocnema",NA,"Lachnocnema emperamus",1872
"129324","exiguus","Lachnocnema",NA,"Lachnocnema exiguus",1890
"129352","inexpectata","Lachnocnema",NA,"Lachnocnema inexpectata",1996
"129355","intermedia","Lachnocnema",NA,"Lachnocnema intermedia",1996
"129359","jacksoni","Lachnocnema",NA,"Lachnocnema jacksoni",1967
"129363","jolyana","Lachnocnema",NA,"Lachnocnema jolyana",1996
"129367","katangae","Lachnocnema",NA,"Lachnocnema katangae",1996
"129370","kiellandi","Lachnocnema",NA,"Lachnocnema kiellandi",1996
"129372","laches","Lachnocnema",NA,"Lachnocnema laches",1793
"129380","luna","Lachnocnema",NA,"Lachnocnema luna",1910
"129389","magna","Lachnocnema",NA,"Lachnocnema magna",1895
"129405","nigrocellularis","Lachnocnema",NA,"Lachnocnema nigrocellularis",1996
"129411","obscura","Lachnocnema",NA,"Lachnocnema obscura",1996
"129413","overlaeti","Lachnocnema",NA,"Lachnocnema overlaeti",1996
"129416","pseudobibulus","Lachnocnema",NA,"Lachnocnema pseudobibulus",1996
"129424","regularis","Lachnocnema",NA,"Lachnocnema regularis",1996
"129431","regularis","Lachnocnema","grisea","Lachnocnema regularis",1996
"129432","reutlingeri","Lachnocnema",NA,"Lachnocnema reutlingeri",1892
"129452","reutlingeri","Lachnocnema","perspicua","Lachnocnema reutlingeri",1996
"129453","riftensis","Lachnocnema",NA,"Lachnocnema riftensis",1996
"129456","sosia","Lachnocnema",NA,"Lachnocnema sosia",1996
"129462","tanzaniensis","Lachnocnema",NA,"Lachnocnema tanzaniensis",1996
"129464","triangularis","Lachnocnema",NA,"Lachnocnema triangularis",1996
"129468","unicolor","Lachnocnema",NA,"Lachnocnema unicolor",1996
"129470","vuattouxi","Lachnocnema",NA,"Lachnocnema vuattouxi",1996
"129496","anticlia","Lachnoptera",NA,"Lachnoptera anticlia",1819
"129522","ayresii","Lachnoptera",NA,"Lachnoptera ayresii",1879
"129558","roboris","Laeosopis",NA,"Laeosopis roboris",1793
"129585","lyncides","Lamasia",NA,"Lamasia lyncides",1859
"129586","lyncides","Lamasia","amarapta","Lamasia lyncides",1913
"129587","lyncides","Lamasia","eutaenia","Lamasia lyncides",1913
"129588","lyncides","Lamasia","notus","Lamasia lyncides",1991
"129589","lyncides","Lamasia","togiana","Lamasia lyncides",1991
"129593","velazquezi","Lamphiotes",NA,"Lamphiotes velazquezi",1976
"129634","boeticus","Lampides",NA,"Lampides boeticus",1767
"129985","elegantula","Lamponia",NA,"Lamponia elegantula",1869
"129986","lamponia","Lamponia",NA,"Lamponia lamponia",1876
"129989","travassosi","Lamponia",NA,"Lamponia travassosi",1942
"129992","nitida","Lamprolenis",NA,"Lamprolenis nitida",1881
"129998","curius","Lamproptera",NA,"Lamproptera curius",1787
"130044","curius","Lamproptera","libelluloides","Lamproptera curius",1898
"130045","curius","Lamproptera","magistralis","Lamproptera curius",1909
"130046","curius","Lamproptera","sundingi","Lamproptera curius",1994
"130047","curius","Lamproptera","suwajii","Lamproptera curius",1994
"130048","curius","Lamproptera","walkeri","Lamproptera curius",1902
"130049","meges","Lamproptera",NA,"Lamproptera meges",1831
"130093","meges","Lamproptera","akirai","Lamproptera meges",1980
"130094","meges","Lamproptera","amplifascia","Lamproptera meges",1939
"130095","meges","Lamproptera","annamiticus","Lamproptera meges",1909
"130096","meges","Lamproptera","decius","Lamproptera meges",1862
"130097","meges","Lamproptera","ennius","Lamproptera meges",1865
"130098","meges","Lamproptera","niasicus","Lamproptera meges",1909
"130099","meges","Lamproptera","pessinus","Lamproptera meges",1909
"130100","meges","Lamproptera","virescens","Lamproptera meges",1870
"130101","paracurius","Lamproptera",NA,"Lamproptera paracurius",2014
"130105","aunus","Lamprospilus",NA,"Lamprospilus aunus",1775
"130115","coelicolor","Lamprospilus",NA,"Lamprospilus coelicolor",1872
"130121","collucia","Lamprospilus",NA,"Lamprospilus collucia",1877
"130131","decorata","Lamprospilus",NA,"Lamprospilus decorata",1926
"130134","draudti","Lamprospilus",NA,"Lamprospilus draudti",1932
"130145","genius","Lamprospilus",NA,"Lamprospilus genius",1832
"130153","japola","Lamprospilus",NA,"Lamprospilus japola",1912
"130156","nicetus","Lamprospilus",NA,"Lamprospilus nicetus",1865
"130160","occidentalis","Lamprospilus",NA,"Lamprospilus occidentalis",2004
"130162","orcidia","Lamprospilus",NA,"Lamprospilus orcidia",1874
"130184","barajo","Laothus",NA,"Laothus barajo",1867
"130201","cockaynei","Laothus",NA,"Laothus cockaynei",1945
"130204","erybathis","Laothus",NA,"Laothus erybathis",1867
"130212","gibberosa","Laothus",NA,"Laothus gibberosa",1867
"130222","numen","Laothus",NA,"Laothus numen",1907
"130223","oceia","Laothus",NA,"Laothus oceia",1887
"130229","phydela","Laothus",NA,"Laothus phydela",1867
"130232","viridicans","Laothus",NA,"Laothus viridicans",1865
"130235","doris","Laparus",NA,"Laparus doris",1771
"130247","doris","Laparus","dives","Laparus doris",1920
"130248","doris","Laparus","obscurus","Laparus doris",1891
"130249","doris","Laparus","viridis","Laparus doris",1885
"130250","castelnaui","Laringa",NA,"Laringa castelnaui",1860
"130258","castelnaui","Laringa","fruhstorferii","Laringa castelnaui",1895
"130259","castelnaui","Laringa","niha","Laringa castelnaui",1896
"130260","castelnaui","Laringa","ochus","Laringa castelnaui",1905
